Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_416.jpg;0;0;1;0;99.66999;85.58897;0.0002354571;31.80443;-1.842591E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_461.jpg;0;0;0;0;99.66999;85.58897;0.0002354312;31.80443;-1.795959E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_525.jpg;0;0;0;0;99.66999;85.58897;0.0002354312;31.80443;-1.795959E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_592.jpg;0;0;0;0;99.66999;85.58897;0.0002354052;31.80443;-1.749333E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_659.jpg;0;0;0;0;99.66999;85.58897;0.0002353274;31.80443;-1.609456E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_726.jpg;0;0;0;0;99.66999;85.58897;0.0002352755;31.80443;-1.516205E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_792.jpg;0;0;0;0;99.66999;85.58897;0.0002353841;31.80443;-1.272531E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_858.jpg;0;0;0;0;99.66999;85.58897;0.000235586;31.80443;-9.769492E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_925.jpg;0;0;0;0;99.66999;85.58897;0.0002358552;31.80443;-5.828527E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_41_992.jpg;0;0;0;0;99.66999;85.58897;0.0002360572;31.80443;-2.872771E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_058.jpg;0;0;0;0;99.66999;85.58897;0.0002359947;31.80443;4.437836E-08
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_125.jpg;0;0;0;0;99.66999;85.58897;0.0002358909;31.80443;2.308808E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_192.jpg;0;0;0;0;99.66999;85.58897;0.000235813;31.80443;3.707641E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_258.jpg;0;0;0;0;99.66999;85.58897;0.0002357352;31.80443;5.10641E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_325.jpg;0;0;0;0;99.66999;85.58897;0.0002356314;31.80443;6.971434E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_392.jpg;0;0;0;0;99.66999;85.58897;0.0002355536;31.80443;8.370333E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_458.jpg;0;0;0;0;99.66999;85.58897;0.0002354757;31.80443;9.769101E-07
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_527.jpg;0;0;0;0;99.66999;85.58897;0.0002353719;31.80443;1.163413E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_592.jpg;0;0.1998029;0;0;99.67017;85.5891;0.004619621;31.80363;1.11224E-06
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_659.jpg;0;0.400986;0;0.02063932;99.67308;85.5909;0.07772889;31.76267;7.668295E-05
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_725.jpg;0;0.6005099;0;0.04908217;99.67716;85.59344;0.1750444;31.75194;4.899217E-05
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_792.jpg;0;0.8006129;0;0.0760487;99.68392;85.59762;0.3302695;31.80281;-0.0001962111
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_859.jpg;0;1;0;0.1213752;99.6963;85.60526;0.576028;31.81321;-0.0006815058
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_925.jpg;0;1;0;0.172495;99.70983;85.61362;0.8167576;31.77299;0.0006591802
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_42_992.jpg;0;1;0;0.2131422;99.72559;85.62335;1.060583;31.82521;-0.001390555
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_060.jpg;0;1;0;0.2866952;99.75024;85.63839;1.336652;31.85534;-0.001671663
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_126.jpg;0;1;0;0.3576564;99.76807;85.6491;1.246167;31.89636;-0.002542552
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_192.jpg;0;1;0;0.4146172;99.78691;85.66067;1.079879;31.88005;0.0001835406
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_259.jpg;0;1;0;0.4619961;99.81835;85.68004;0.9988011;31.77995;0.0009474057
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_325.jpg;0;1;0;0.5297968;99.84596;85.69703;1.014484;31.72603;0.0001497006
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_392.jpg;0;1;0;0.5835514;99.87691;85.716;1.083271;31.66318;-0.0001869031
/Users/jianan/Developer/Robotics/Udacity-Robotics/Nanodegree-Preview/RoboND-Rover-Project/training_data/IMG/robocam_2017_12_29_20_16_43_458.jpg;0;1;0;0.6294011;99.91098;85.73693;1.192934;31.72115;-0.0004003465
